code,name
DBRG,DIBRUGARH (DBRG)
NTSK,NEW TINSUKIA JN (NTSK)
MXN,MARIANI JN (MXN)
FKG,FURKATING JN (FKG)
DMV,DIMAPUR (DMV)
DPU,DIPHU (DPU)
LMG,LUMDING JN (LMG)
CPK,CHAPARMUKH JN (CPK)
GHY,GUWAHATI (GHY)
RNY,RANGIYA JN (RNY)
NBQ,NEW BONGAIGAON (NBQ)
KOJ,KOKRAJHAR (KOJ)
NCB,NEW COOCH BEHAR (NCB)
NJP,NEW JALPAIGURI (NJP)
KNE,KISHANGANJ (KNE)
KIR,KATIHAR JN (KIR)
NNA,NAUGACHIA (NNA)
MNE,MANSI JN (MNE)
BJU,BARAUNI JN (BJU)
PPTA,PATLIPUTRA (PPTA)
DNR,DANAPUR (DNR)
DDU,PT DEEN DAYAL UPADHYAY JN (DDU)
SFG,SUBEDARGANJ (SFG)
PRYJ,PRAYAGRAJ JN (PRYJ)
CNB,KANPUR CENTRAL (CNB)
NDLS,NEW DELHI (NDLS)
