station_code,state,district,country
DBRG,Assam,Dibrugarh,India
CHB,Assam,Dibrugarh,India
NTSK,Assam,Tinsukia,India
DJG,Assam,Dibrugarh,India
NHK,Assam,Dibrugarh,India
NAM,Assam,Dibrugarh,India
BOJ,Assam,Charaideo,India
SLGR,Assam,Sivasagar,India
AGI,Assam,Sivasagar,India
MXN,Assam,Jorhat,India
FKG,Assam,Golaghat,India
BXP,Assam,Golaghat,India
SZR,Assam,Golaghat,India
DMV,Nagaland,Dimapur,India
DPU,Assam,Karbi Anglong,India
LMG,Assam,Hojai,India
LKA,Assam,Hojai,India
HJI,Assam,Hojai,India
KWM,Assam,Nagaon,India
CPK,Assam,Nagaon,India
GHY,Assam,Kamrup Metropolitan,India
KYQ,Assam,Kamrup Metropolitan,India
RNY,Assam,Kamrup,India
NLV,Assam,Nalbari,India
TIHU,Assam,Nalbari,India
PBL,Assam,Bajali,India
SPQ,Assam,Bajali,India
BPRD,Assam,Barpeta,India
SBE,Assam,Barpeta,India
BJF,Assam,Chirang,India
BNGN,Assam,Bongaigaon,India
NBQ,Assam,Bongaigaon,India
KOJ,Assam,Kokrajhar,India
FKM,Assam,Kokrajhar,India
GOGH,Assam,Kokrajhar,India
KAMG,West Bengal,Alipurduar,India
NOQ,West Bengal,Alipurduar,India
NCB,West Bengal,Cooch Behar,India
FLK,West Bengal,Alipurduar,India
DQG,West Bengal,Jalpaiguri,India
NMX,West Bengal,Jalpaiguri,India
JPE,West Bengal,Jalpaiguri,India
NJP,West Bengal,Jalpaiguri,India
AUB,West Bengal,Uttar Dinajpur,India
KNE,Bihar,Kishanganj,India
BOE,Bihar,Katihar,India
HCR,West Bengal,Maldah,India
SM,West Bengal,Maldah,India
MLDT,West Bengal,Maldah,India
NFK,West Bengal,Murshidabad,India
DGLE,West Bengal,Murshidabad,India
NILE,West Bengal,Murshidabad,India
JRLE,West Bengal,Murshidabad,India
AZ,West Bengal,Murshidabad,India
KGLE,West Bengal,Murshidabad,India
SALE,West Bengal,Murshidabad,India
KWAE,West Bengal,Purba Bardhaman,India
NDAE,West Bengal,Nadia,India
ABKA,West Bengal,Purba Bardhaman,India
BDC,West Bengal,Hooghly,India
HWH,West Bengal,Howrah,India
JID,Assam,Marigaon,India
BXJ,Assam,Karbi Anglong,India
JTTN,Assam,Jorhat,India
JMK,Assam,Hojai,India
MYD,Assam,Dima Hasao,India
HTL,Assam,Dima Hasao,India
DBLG,Assam,Dima Hasao,India
LGT,Assam,Dima Hasao,India
DKE,Assam,Dima Hasao,India
MUPA,Assam,Dima Hasao,India
KQI,Assam,Dima Hasao,India
MBG,Assam,Dima Hasao,India
WDA,Assam,Dima Hasao,India
DJA,Assam,Dima Hasao,India
PDJ,Assam,Dima Hasao,India
MXR,Assam,Dima Hasao,India
MGE,Assam,Dima Hasao,India
NHLG,Assam,Dima Hasao,India
JGLP,Assam,Dima Hasao,India
NHGJ,Assam,Dima Hasao,India
DTC,Assam,Dima Hasao,India
BXK,Assam,Cachar,India
DCA,Assam,Cachar,India
CNE,Assam,Cachar,India
BHZ,Assam,Cachar,India
HLX,Assam,Cachar,India
SQF,Assam,Cachar,India
BPB,Assam,Karimganj,India
KTX,Assam,Hailakandi district,India
SCA,Assam,Cachar,India
SCL,Assam,Cachar,India
GLPT,Assam,Goalpara,India
RPH,West Bengal,Birbhum,India
SNT,West Bengal,Birbhum,India
BHP,West Bengal,Birbhum,India
BWN,West Bengal,Purba Bardhaman,India
KIR,Bihar,Katihar,India
NNA,Bihar,Bhagalpur,India
MNE,Bihar,Khagaria,India
BJU,Bihar,Begusarai,India
PPTA,Bihar,Patna,India
DNR,Bihar,Patna,India
DDU,Uttar Pradesh,Chandauli,India
SFG,Uttar Pradesh,Prayagraj,India
PRYJ,Uttar Pradesh,Prayagraj,India
CNB,Uttar Pradesh,Kanpur Nagar,India
NDLS,,,India
THB,Bihar,Bhagalpur,India
KGG,Bihar,Khagaria,India
BGS,Bihar,Begusarai,India
NBJU,Bihar,Begusarai,India
MKA,Bihar,Patna,India
BARH,Bihar,Patna,India
BKP,Bihar,Patna,India
PNC,Bihar,Patna,India
PNBE,Bihar,Patna,India
ARA,Bihar,Bhojpur,India
DURE,Bihar,Buxar,India
BXR,Bihar,Buxar,India
DLN,Uttar Pradesh,Ghazipur,India
MZP,Uttar Pradesh,Mirzapur,India
BDL,Uttar Pradesh,Mirzapur,India
PCOI,Uttar Pradesh,Prayagraj,India
STA,Madhya Pradesh,Satna,India
KTE,Madhya Pradesh,Katni,India
JBP,Madhya Pradesh,Jabalpur,India
PPI,Madhya Pradesh,Narmadapuram,India
ET,Madhya Pradesh,Narmadapuram,India
HD,Madhya Pradesh,Harda,India
KNW,Madhya Pradesh,Khandwa,India
BAU,Madhya Pradesh,Burhanpur,India
BSL,Maharashtra,Jalgaon,India
MMR,Maharashtra,Nashik,India
NK,Maharashtra,Nashik,India
KYN,Maharashtra,Thane,India
TNA,Maharashtra,Thane,India
LTT,Maharashtra,Mumbai Suburban District,India
DLI,,,India
ALJN,Uttar Pradesh,Aligarh,India
TDL,Uttar Pradesh,Firozabad,India
SKB,Uttar Pradesh,Firozabad,India
KIUL,Bihar,Lakhisarai,India
AHA,Bihar,Lakhisarai,India
JMP,Bihar,Munger,India
SGG,Bihar,Bhagalpur,India
BGP,Bihar,Bhagalpur,India
CLG,Bihar,Bhagalpur,India
PPT,Bihar,Bhagalpur,India
SBG,Jharkhand,Sahibganj,India
BHW,Jharkhand,Sahibganj,India
KDKN,Assam,Kamrup,India
SRI,Bihar,Katihar,India
FTP,Uttar Pradesh,Fatehpur,India
ETW,Uttar Pradesh,Etawah,India
GZB,Uttar Pradesh,Ghaziabad,India
ANVT,,,India
LXA,Assam,Charaideo,India
DGU,Assam,Kamrup Metropolitan,India
DLK,West Bengal,Uttar Dinajpur,India
AZR,Bihar,Katihar,India
LAV,Bihar,Katihar,India
NNR,Bihar,Bhagalpur,India
DSS,Bihar,Samastipur,India
SPJ,Bihar,Samastipur,India
DOL,Bihar,Muzaffarpur,India
MFP,Bihar,Muzaffarpur,India
HJP,Bihar,Vaishali,India
SEE,Bihar,Saran,India
CPR,Bihar,Saran,India
EKMA,Bihar,Saran,India
SV,Bihar,Siwan,India
MW,Bihar,Siwan,India
BHTR,Uttar Pradesh,Deoria,India
BTT,Uttar Pradesh,Deoria,India
DEOS,Uttar Pradesh,Deoria,India
GKP,Uttar Pradesh,Gorakhpur,India
KLD,Uttar Pradesh,Sant Kabir Nagar,India
BST,Uttar Pradesh,Basti,India
MUR,Uttar Pradesh,Gonda,India
GD,Uttar Pradesh,Gonda,India
BBK,Uttar Pradesh,Barabanki,India
LKO,Uttar Pradesh,Lucknow,India
BLM,Uttar Pradesh,Hardoi,India
HRI,Uttar Pradesh,Hardoi,India
SPN,Uttar Pradesh,Shahjahanpur,India
BE,Uttar Pradesh,Bareilly,India
RMU,Uttar Pradesh,Rampur,India
MB,Uttar Pradesh,Moradabad,India
AMRO,Uttar Pradesh,Amroha,India
KHE,Uttar Pradesh,Amroha,India
GMS,Uttar Pradesh,Hapur,India
HPU,Uttar Pradesh,Hapur,India
PKW,Uttar Pradesh,Hapur,India
DKZ,,,India
SSB,,,India
NNO,,,India
BGZ,Haryana,Jhajjar,India
ROK,Haryana,Rohtak,India
JIND,Haryana,Jind,India
NRW,Haryana,Jind,India
TUN,Haryana,Fatehabad,India
JHL,Haryana,Fatehabad,India
BRZ,Punjab,Mansa,India
BLZ,Punjab,Mansa,India
MSZ,Punjab,Mansa,India
MAUR,Punjab,Bathinda,India
BTI,Punjab,Bathinda,India
MBY,Haryana,Sirsa,India
SGRA,Rajasthan,Hanumangarh,India
HMH,Rajasthan,Hanumangarh,India
PGK,Rajasthan,Hanumangarh,India
SOG,Rajasthan,Sri Ganganagar,India
MHJ,Rajasthan,Bikaner,India
LKS,Rajasthan,Bikaner,India
LGH,Rajasthan,Bikaner,India
