station_code,longitude,latitude,station_name
DBRG,94.9352579102,27.4636065659,DIBRUGARH
CHB,95.1720581342,27.481420709,CHABUA
NTSK,95.334128,27.479748,NEW TINSUKIA JN
DJG,95.306952,27.367712,DULIAJAN
NHK,95.329775,27.289403,NAHARKATIYA
NAM,95.313642,27.19627,NAMRUP
BOJ,95.032406,27.0635982,BHOJO
SLGR,94.756816,26.917281,SIMALUGURI JN
AGI,94.524011,26.812601,AMGURI
MXN,94.308203,26.652435,MARIANI JN
FKG,94.002692,26.465652,FURKATING JN
BXP,93.899672,26.274562,BARPATHAR
SZR,93.862021,26.195595,SARUPATHAR
DMV,93.727816,25.905702,DIMAPUR
DPU,93.438384,25.83725,DIPHU
LMG,93.1766,25.750036,LUMDING JN
LKA,92.958001,25.914426,LANKA
HJI,92.851752,26.001794,HOJAI
KWM,92.6577872687,26.1606011328,KAMPUR
CPK,92.511718,26.202272,CHAPARMUKH JN
GHY,91.751851,26.182635,GUWAHATI
KYQ,91.689505,26.156154,KAMAKHYA
RNY,91.605929,26.447901,RANGIYA JN
NLV,91.440291,26.450629,NALBARI
TIHU,91.267699,26.471321,TIHU
PBL,91.176255,26.497475,PATHSALA
SPQ,91.0760593414,26.4996888512,SORUPETA
BPRD,90.9639649,26.5028473,BARPETA ROAD
SBE,90.888281,26.494286,SORBHOG JN
BJF,90.707827,26.497967,BIJNI
BNGN,90.560548,26.478293,BONGAIGAON
NBQ,90.5368434644,26.4758354405,NEW BONGAIGAON
KOJ,90.274125,26.405057,KOKRAJHAR
FKM,90.186189,26.365237,FAKIRAGRAM JN
GOGH,89.9715891956,26.4291071597,GOSSAIGAON HAT
KAMG,89.721829,26.484168,KAMAKHYAGURI
NOQ,89.541398,26.48572,NEW ALIPURDAUR
NCB,89.469766,26.353159,NEW COOCH BEHAR
FLK,89.1922748828,26.5383964616,FALAKATA
DQG,88.994973,26.573532,DHUPGURI
NMX,88.822868,26.578607,NEW MAYNAGURI
JPE,88.709453,26.559017,JALPAIGURI ROAD
NJP,88.443391,26.683025,NEW JALPAIGURI
AUB,88.18561,26.269681,ALUABARI ROAD
KNE,87.949657,26.097746,KISHANGANJ
BOE,87.9229421,25.6512422,BARSOI JN
HCR,87.867051,25.403999,HARISCHANDRPUR
SM,88.009757,25.276197,SAMSI
MLDT,88.130338,25.015659,MALDA TOWN
NFK,87.915236,24.794558,NEW FARAKKA JN
DGLE,87.937644,24.672086,DHULIAN GANGA
NILE,88.00764,24.625338,NIMTITA
JRLE,88.04076,24.459515,JANGIPUR ROAD
AZ,88.256764,24.219053,AZIMGANJ JN
KGLE,88.226481,24.106842,KHAGRAGHAT ROAD
SALE,88.111097,23.774579,SALAR
KWAE,88.124085,23.640315,KATWA
NDAE,88.356472,23.396593,NABADWIP DHAM
ABKA,88.353984,23.211377,AMBIKA KALNA
BDC,88.3793623,22.9236565,BANDEL JN
HWH,88.340999,22.584078,HOWRAH JN
JID,92.197461,26.126114,JAGI ROAD
BXJ,93.779466,26.018426,BOKAJAN
JTTN,94.217106,26.750692,JORHAT TOWN
JMK,92.741306,26.108194,JAMUNAMUKH
MYD,93.123109,25.707319,MANDERDISA
HTL,93.090848,25.61107,HATIKHALI
DBLG,93.085623,25.595283,DIBLONG
LGT,93.110265,25.49759,LANGTING
DKE,93.126587,25.427907,DIHAKHO
MUPA,93.122747,25.368686,MUPA
KQI,93.13312,25.339051,KALACHAND
MBG,93.135371,25.30497,MAIBANG
WDA,93.177527,25.263973,WADRENGDISA
DJA,93.162162,25.227501,DAOTUHAJA
PDJ,93.14983,25.221835,PHIDING
MXR,93.126299,25.187996,MAHUR
